_id,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
364,13017,111.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,13.00,19.00,88.00,17.00,-,1014.5,76.00,111.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Unhealthy for sensitive groups,3
365,13020,94.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,5.00,19.00,88.00,10.00,-,1014.5,54.00,94.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Moderate,2
366,13013,121.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,16.00,19.00,88.00,22.00,-,1014.5,85.00,121.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Unhealthy for sensitive groups,3
367,13014,101.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,6.00,19.00,88.00,-,-,1014.5,57.00,101.00,-,21.00,2.30,2021-02-15T12:00:00,+07:00,Unhealthy for sensitive groups,3
368,13252,85.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,15.10,60.00,-,4.00,984.80,67.00,85.00,-,23.30,1.00,2021-02-15T14:00:00,+07:00,Moderate,2
369,8767,97.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,16.50,41.50,-,-,1009.5,-,97.00,-,31.00,1.20,2021-02-16T13:00:00,+07:00,Moderate,2
370,8688,156.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,17.00,82.00,-,-,1014,-,-,-,20.00,2.50,2021-02-16T14:00:00,+07:00,Unhealthy,4
371,8641,153.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,17.00,82.00,12.40,4.10,1014,-,153.00,4.60,20.00,2.50,2021-02-16T13:00:00,+07:00,Unhealthy,4
372,13012,35.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,2.00,9.60,30.90,5.00,38.00,924.50,24.00,35.00,1.00,28.40,3.00,2021-02-16T14:00:00,+07:00,Good,1
373,12488,53.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,1.00,19.00,69.00,-,-,1013.5,53.00,39.00,-,25.00,3.80,2021-02-16T14:00:00,+07:00,Moderate,2
374,13251,-,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,5.00,17.00,77.00,20.00,1.00,1015,53.00,56.00,1.00,21.00,2.80,2021-02-16T12:00:00,+07:00,No data,0
375,12976,-,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,17.00,82.00,6.00,24.00,1014,38.00,63.00,3.00,20.00,2.50,2021-02-16T14:00:00,+07:00,No data,0
